label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76
3,0.0,0.0,0.0,-0.4976300079420534,-0.251672623629995,-0.19659753156976936,-0.8501158363285098,-0.9338280691786871,-0.2942244977514483,-1.0733647989188275,-1.480119750349136,-0.40524631461336963,-1.30019354697008,-1.8290000877747854,-0.47712204614337084,-0.47643252427873867,-1.5610715322801685,-0.04046235215200006,-0.4951483347730636,-1.921281114588745,-0.261339486065407,-0.44633611809718876,-1.4080617439245224,-0.3861151270079769,-0.39518250019490453,-0.9701560226778709,-0.42396767003974917,-0.13392270457023603,-1.6148611293688138,-0.04288429696977897,-0.15440588153318743,-1.9612356505400463,-0.340653350404279,-0.16268479467392868,-1.3343744313537753,-0.4482688009344783,-0.160253539408122,-0.8781770033316032,-0.43708008468425774,0.20922308264700198,-1.5856647532417005,-0.08860665623533504,0.26349670328028907,-2.0843272129322292,-0.33747051054626354,0.1905595464717365,-1.587823853501869,-0.34191461992737193,0.11865064513242879,-1.163385502057371,-0.2564225270181187,0.5146913350921966,-1.4947935089369815,-0.1557042410689948,0.7203607518752784,-2.0140273934455477,-0.27202321849926653,0.8546065422565515,-2.3377032447590045,-0.2953524737063638,0.9571725094591307,-2.686106213367002,-0.2759916471307015,3.0354666763214055,2.568393947458928,2.458493958976405,2.7357986002858024,3.0253665777485126,0.9999999966910748,-1.183782638580766e-08,1.857738651800389e-08,-2.4739766124604046e-08,1.0000000089219574,0.40000001920353684,-0.008892363854106562,0.014330326280469586,-1.7198986406469316e-08
3,0.0,0.0,0.0,-0.4921942772580633,-0.2618472628319702,-0.19408705896988188,-0.8379434902634594,-0.9556091430392295,-0.2856185767581054,-1.0539781352357547,-1.4979483229801813,-0.3931015193777705,-1.2755155118379207,-1.835552072592591,-0.46333885659898266,-0.4665816334255885,-1.542511134145364,-0.04280450170992395,-0.4688225280092964,-1.9004864603993954,-0.26450737627872983,-0.425244363968057,-1.388192655964736,-0.386490073926846,-0.37397332673635253,-0.9619194861848784,-0.42364135097396916,-0.1294618058634086,-1.5808830093036292,-0.04795597632097809,-0.1307448525050154,-1.9247325586152073,-0.34696117035153706,-0.14871458116495573,-1.307968258889887,-0.4553319444203871,-0.15073679345680885,-0.864225323308238,-0.447521056109321,0.21190373639936044,-1.5437584022804716,-0.09775504330320409,0.2880440623470679,-2.0445388128626196,-0.3512024626197654,0.20364422973893948,-1.549105766435599,-0.36340850706811556,0.12434407789238847,-1.1304340353244,-0.28476916821927106,0.521218575794047,-1.451186779555228,-0.1689421262989581,0.7371962152044759,-1.9582702740065947,-0.2910953460215333,0.878475111728755,-2.274522282891698,-0.3245427655417347,0.9931582663582078,-2.6228907491559004,-0.31447103900127416,3.0369906278122265,2.5480587710400178,2.4524552862168147,2.7400746267520315,3.0185981207118084,0.9999999966910748,-1.183782638580766e-08,1.857738651800389e-08,-2.4739766124604046e-08,1.0000000089219574,0.40000001920353684,-0.008657919149441915,0.013581385799342774,-2.3144516298552814e-08
3,0.0,0.0,0.0,-0.43537281643591336,0.39859208175900074,-0.2766013177523654,-0.7892231135803393,0.8827428174223522,-0.5767225107358269,-1.0402621614610232,1.2655638498136872,-0.8310129646751724,-1.2781798473487986,1.4493167559605638,-1.0858390165840939,-0.5280410366641596,0.5269290701199161,-0.7922221734123521,-0.2621665144153701,1.5094008263540803,-1.025309949082831,-0.2789897401456419,1.4896306201111689,-1.1510271028249626,-0.3601605520937536,1.300191315962335,-1.2532459008727899,-0.146881950802573,0.37411335463647144,-0.7977220498405868,0.07287762334916267,1.4696090022700639,-0.9382897999685653,-0.0060351601835202,1.4038037364378713,-0.9180138084732081,-0.08073953225616154,1.1701468999083067,-0.9616028478989642,0.18323049508062836,0.31346890534065586,-0.7911527610683882,0.3795076732973145,1.2726683518374653,-0.9725461702193247,0.27703414675272037,1.228396157407884,-0.8603939774798365,0.1758840496422179,1.0577853705587754,-0.8071358613042703,0.44775024556924964,0.3095695641154014,-0.8164328965845715,0.6761001761875578,0.9086469048243231,-1.0432429212179608,0.7730795426182409,0.9239261643425513,-1.0184887483768457,0.8767703620327582,0.8671089874878485,-0.9888771922620287,3.079445126537601,2.0881559853266305,2.079237224470908,2.157896046694786,2.3583395601770127,0.9999999966910748,1.000000001597114,1.0000000043126425,0.9999999949426772,1.0000000089219574,0.9999999942784215,0.0037043291813836482,-0.01678029579402837,6.407419853357867e-09
3,0.0,0.0,0.0,-0.3891799749432916,-0.13176186708813026,-0.3601940584955938,-0.6468219497368063,-0.4646654427089826,-0.5829063019392737,-0.8353961363475552,-0.8332792000602567,-0.7396521481193163,-1.1258411651302425,-1.098575831481719,-0.8492630687231508,-0.13182874811213494,-1.4847333705358265,-0.5353018624067917,0.15263452871646105,-0.7237596902282974,-0.6876099117117638,-0.03071995702449244,-0.2390247662748003,-0.7347953378418005,-0.1764865164693609,-0.1686308960069418,-0.7863449408369393,0.2499665678413847,-1.5346700980273846,-0.4695153180027938,0.43597181746410285,-0.5894287778381893,-0.6456850684212885,0.1504609580030972,-0.15634243086806865,-0.70673298784046,0.009474949219246763,-0.1379558599302415,-0.7731296402019647,0.557458703455406,-1.352465142932774,-0.4135962976911326,0.7461255678372078,-0.5962176444454999,-0.6699186622751025,0.4335949846525803,-0.2050824552313949,-0.6999928387010829,0.21803573457775224,-0.10391771853235121,-0.7013915229622325,0.7605527935498864,-1.062303659817014,-0.37653029002197064,1.1416652361740738,-1.0626200366535499,-0.6250384438601044,1.4077322735572475,-1.0790638832251158,-0.6846558436506126,1.6617385443075565,-1.1356993975351293,-0.6964238899730969,2.931481606388665,0.5926862958613228,0.5903852354084762,0.8623018423574282,2.239992848817055,0.9999999966910748,1.000000001597114,1.0000000043126425,0.9999999949426772,1.0000000089219574,0.9999999942784215,-0.00865622399222048,0.01493672171652256,-2.123456584022687e-08
3,0.0,0.0,0.0,-0.42860452385655307,-0.16022840017064036,-0.35708996968860807,-0.7140199993687273,-0.5574919612101069,-0.5702139668203544,-0.894369287423521,-0.9557643047577523,-0.7132931869183681,-1.1628809893755092,-1.244759211984623,-0.8084881377190837,-0.23042158521025238,-1.5534732378516587,-0.5230429106496168,0.045963965506047796,-0.9017623484084664,-0.6448442343601947,-0.09794164708426324,-0.43308104134762815,-0.674372674968703,-0.2170014381644227,-0.3299891781655032,-0.7165300250045745,0.14222507007748492,-1.6247312900691828,-0.44847333394391153,0.34071698422837327,-0.7956072158931367,-0.5880333182194564,0.12406604884825902,-0.43472618239619043,-0.6323391211703917,0.012766907228164613,-0.4312975041929983,-0.692324463106493,0.4571396523592748,-1.4524847215222185,-0.3846370552978753,0.6993219136393113,-0.9285604368282723,-0.5852350598233451,0.5311957648631197,-0.7445153616691901,-0.6264744414237583,0.4255734922843927,-0.7975439444482328,-0.6579961767037175,0.6736777008681315,-1.1673562764583736,-0.3399631100094037,1.0516115286380008,-1.2232911252313077,-0.5443329217222365,1.3197427179741068,-1.2735770844048175,-0.6029177309071588,1.5852347973098642,-1.3967730679686445,-0.6290715356886538,2.934039581817296,0.5519982394789771,0.5360735315199179,0.9307982433688917,2.2738218307325315,0.9999999966910748,1.000000001597114,1.0000000043126425,0.9999999949426772,1.0000000089219574,0.9999999942784215,-0.009907735655796343,0.018434735874178314,-1.646700753184852e-08
3,0.0,0.0,0.0,-0.41175769534529494,-0.25654712470983215,-0.2994864627216687,-0.6717000857530221,-0.7971004304780313,-0.47334614619981297,-0.8329570134386283,-1.2832987104839884,-0.6100820288761921,-1.0724361460819478,-1.6195300974997524,-0.7073947767784738,-0.20882604806174443,-1.7270147990376625,-0.33997839623728965,0.03482972068412582,-1.288957470792282,-0.510933041300767,0.004908968050908413,-0.7808114838958096,-0.5744391685678252,-0.07666651289654042,-0.4579447267695934,-0.5847082085705027,0.1551343200500639,-1.7240224871294976,-0.28439667692012494,0.3749598349445318,-1.24313307544354,-0.4853680133598282,0.23171114471727072,-0.7108284894320047,-0.5507017981288453,0.10002299734115272,-0.40120042347250995,-0.5556532130724087,0.4555093559260565,-1.5449088941544398,-0.24957108440485257,0.6991841655222923,-1.263615729850591,-0.48864403201483797,0.5379593806931279,-0.805570305017064,-0.5158679469174293,0.38981604445353424,-0.5176164040378426,-0.46319693706603976,0.6770834115916347,-1.2763694294479953,-0.23005519358738338,1.0140405388356106,-1.49836754683306,-0.36897394038900355,1.264265109432455,-1.6099221781831656,-0.37601244942674844,1.4862313288093751,-1.7472445585067649,-0.34226894870442504,3.0164818822499266,0.6465101855753419,0.7324292991099159,1.1960266787211022,2.6268534548887317,0.9999999966910748,1.000000001597114,1.0000000043126425,0.9999999949426772,1.0000000089219574,0.9999999942784215,-0.011639121793590413,0.01835901175969977,-1.8595831031331073e-08
3,0.0,0.0,0.0,-0.38888909388378196,-0.2663740525916764,-0.3011164090754599,-0.6506288843358802,-0.8119595504154377,-0.48387786492065116,-0.8200976555339474,-1.3106633185296075,-0.6305990807765348,-1.0636672297259433,-1.6571244086102124,-0.7376403793635917,-0.2210845466680191,-1.7333321664431196,-0.3591626550948938,0.04947868348563404,-1.380367636002439,-0.5461716675315123,0.012178464471103885,-0.8683329093398034,-0.6189051862093238,-0.0897774050621398,-0.5164177746335034,-0.6292209586560054,0.1465096005798563,-1.7298010490439886,-0.3027933240412058,0.37767804632753266,-1.3124123797794733,-0.5212985875715919,0.22701867945024592,-0.7718897502940019,-0.5942804816358868,0.07208058056783295,-0.43686543249069554,-0.5978280912161853,0.4500839323261439,-1.5522697001610797,-0.2670285075969346,0.7021851792674428,-1.3180286886584023,-0.5114117852583081,0.5460976332876586,-0.8722326756494974,-0.5455600622073413,0.3875000592159388,-0.5752597479701399,-0.4946947695173981,0.6711771311766233,-1.2961645954757448,-0.24623019660466774,1.013430335169876,-1.5420230658771195,-0.3830857222266619,1.2603881469893345,-1.6819229315544724,-0.3951531717948019,1.472752923612495,-1.8414778175165227,-0.36553714304526097,3.024594076716261,0.792138952721767,0.8331289222966589,1.3001041327982465,2.6627149540464132,0.9999999966910748,1.000000001597114,1.0000000043126425,-2.4739766124604046e-08,1.0000000089219574,0.8000000117850957,-0.014595552026525653,0.015388376627640483,-1.77334475778275e-08
3,0.0,0.0,0.0,-0.3958605808218471,-0.2766002720912013,-0.31171313199819073,-0.6620067497143525,-0.8610683065847663,-0.4951815052782724,-0.8334138950788395,-1.3753014933474295,-0.645102265588651,-1.059622022442612,-1.7378513097583148,-0.7525350533568486,-0.22224341020802488,-1.7155767968500042,-0.3503616742101549,0.05775852133012867,-1.4666659668154212,-0.5443438900408452,0.014947816279839604,-0.9578223770095665,-0.6142131079490455,-0.09553242326002225,-0.6011970158585183,-0.6183970553832299,0.1511191841231914,-1.716969004095615,-0.29223549245179753,0.3687622612958398,-1.3751990718821225,-0.5176004764669047,0.2259000956272856,-0.8286280616014817,-0.5892075300930052,0.0711392228630948,-0.493644867184436,-0.5866116301352645,0.45704139508860386,-1.5456036470791568,-0.25977229985139816,0.6923906659016977,-1.3816082367777196,-0.505919636099546,0.5510911863738664,-0.9412989033587289,-0.5437022449279835,0.4010157915382053,-0.6468510244679411,-0.4932533480466068,0.6824325783149694,-1.3027282603897894,-0.24492184681552437,1.0044541645203784,-1.571957115115672,-0.37720375489394453,1.2407347129970057,-1.7099654473480652,-0.3945820424520453,1.4391877290734583,-1.8683325597863178,-0.37088808451367605,3.0396239630615893,0.96943867255266,0.9246197868253827,1.4375756804462547,2.735948097762678,0.9999999966910748,1.000000001597114,1.0000000043126425,-2.4739766124604046e-08,1.0000000089219574,0.8000000117850957,-0.015248325440380232,0.01593381819012282,-1.5006335481390714e-08
3,0.0,0.0,0.0,-0.4134797506400007,-0.3309401879871069,-0.2949989479201466,-0.6792449176499629,-0.9958182898517542,-0.45942067883723325,-0.8412205885069278,-1.5508699253770313,-0.6112899148939913,-1.0330929766293928,-1.9266788814484577,-0.715912523357093,-0.24269278035538652,-1.6739814398872959,-0.2552133204229895,-0.022256508014445987,-1.7201653370196937,-0.4746894264578889,-0.05256385914541489,-1.2050676352220024,-0.5456087597256339,-0.1243442965431438,-0.8345388179074582,-0.5451509425090129,0.1198627124255428,-1.644668447058201,-0.2127896837324853,0.2986193975928213,-1.6479220464100663,-0.49833291774837857,0.18451052391503128,-1.0511190891059161,-0.5683121684114603,0.06828315189711387,-0.6772131443492292,-0.5451151702798074,0.43829379723603257,-1.511387840727168,-0.2098991916549359,0.6566106433431056,-1.675266788552236,-0.4845371552168185,0.5281093489854893,-1.1813990073686047,-0.49758145396984294,0.3911187861496817,-0.841368738898911,-0.420808492805283,0.6926203026046833,-1.3210550307720281,-0.23006497022393627,0.9720186850915855,-1.6794390755537092,-0.36513420792621026,1.144684277697354,-1.8832523003638348,-0.3903443619096399,1.291640511012925,-2.1487422996977266,-0.3743457419254198,3.043014293160038,1.7197355190791057,1.7277128612762906,2.2814345317588316,2.9202203826368978,0.9999999966910748,-1.183782638580766e-08,1.857738651800389e-08,-2.4739766124604046e-08,1.0000000089219574,0.40000001920353684,-0.016594192069249253,0.016908922022031436,-1.0476984370134775e-08
3,0.0,0.0,0.0,-0.42066792003236664,-0.35038676893468823,-0.2607973234440118,-0.6788894643041381,-1.0295786158693794,-0.40593952125193067,-0.8404642187192375,-1.5857369147336327,-0.5514429829429387,-1.010930004034111,-1.9668526649359614,-0.6556135411988642,-0.22535657448132898,-1.6184427970366977,-0.18755651453996913,-0.06272287876978883,-1.7566578426093558,-0.40778973647961364,-0.1026246622516282,-1.242274641508423,-0.4905020555693832,-0.1660520843968745,-0.8528119254898316,-0.4964628880959791,0.1306481225212444,-1.5676895246395939,-0.1617901823580726,0.26587343171243494,-1.6799129229475718,-0.455408185057851,0.15501714676515238,-1.0707710977275366,-0.5349974649768979,0.05273167955365774,-0.6698739104336576,-0.513703284279092,0.4491759466582967,-1.439007499730411,-0.17741008026229765,0.6368270123187498,-1.6908144268237453,-0.4527745499269409,0.50418476896463,-1.1941602261594095,-0.4649359271948284,0.3745147021210706,-0.8378951574463503,-0.3842667004119671,0.7087937781194026,-1.2625936158885378,-0.21465710155647075,0.9887257417433322,-1.6545982769481484,-0.34106381452731194,1.160088453984116,-1.8778965563863173,-0.36125628231272466,1.3094722343889267,-2.1603163294754286,-0.34255209417635335,3.048981660437938,2.0405712135051064,2.03257966007664,2.4679775059776725,2.9889971914800975,0.9999999966910748,-1.183782638580766e-08,1.857738651800389e-08,-2.4739766124604046e-08,1.0000000089219574,0.40000001920353684,-0.015579697247820563,0.014576566232489003,-1.387537086322146e-08
