# Thumb Tracking Data
# thumb_tip_x, thumb_tip_y, thumb_tip_z
0.013970, 0.076075, 0.051500
0.016591, 0.076735, 0.049304
0.016591, 0.076735, 0.049304
0.016716, 0.080773, 0.049442
0.016716, 0.080773, 0.049442
0.015430, 0.080849, 0.048404
0.015385, 0.080806, 0.048940
0.015385, 0.080806, 0.048940
0.017393, 0.077912, 0.053177
0.014242, 0.079829, 0.059192
0.014242, 0.079829, 0.059192
0.008764, 0.083830, 0.049864
0.008764, 0.083830, 0.049864
0.010906, 0.086390, 0.033148
0.017863, 0.093318, 0.022784
0.017863, 0.093318, 0.022784
0.024430, 0.090090, 0.032115
0.024430, 0.090090, 0.032115
0.026577, 0.087237, 0.038421
0.026577, 0.087237, 0.038421
0.029454, 0.084572, 0.040847
0.026367, 0.085060, 0.045519
0.026367, 0.085060, 0.045519
0.019045, 0.086229, 0.033248
0.018340, 0.088776, 0.032514
0.018340, 0.088776, 0.032514
0.020351, 0.089358, 0.031328
0.020351, 0.089358, 0.031328
0.015908, 0.089912, 0.025167
0.008747, 0.093117, 0.026659
0.011073, 0.089336, 0.028719
0.017035, 0.088236, 0.032116
0.017053, 0.088486, 0.033861
0.017053, 0.088486, 0.033861
0.017087, 0.087381, 0.034601
0.017087, 0.087381, 0.034601
0.014479, 0.085508, 0.034529
0.005464, 0.087865, 0.002029
0.006304, 0.091093, 0.023624
0.006304, 0.091093, 0.023624
0.006087, 0.091446, 0.028416
0.008457, 0.090158, 0.029082
0.008457, 0.090158, 0.029082
0.008457, 0.090158, 0.029082
0.009102, 0.089680, 0.031809
0.011779, 0.089694, 0.032805
0.022979, 0.086437, 0.038588
0.022979, 0.086437, 0.038588
0.015177, 0.086793, 0.045493
0.015177, 0.086793, 0.045493
0.014609, 0.087465, 0.044508
0.014609, 0.087465, 0.044508
0.013118, 0.088831, 0.042681
0.017755, 0.086188, 0.047245
0.020613, 0.086950, 0.037572
0.020613, 0.086950, 0.037572
0.017757, 0.089483, 0.028448
0.014532, 0.089946, 0.026320
0.011397, 0.092991, 0.017016
0.013873, 0.091820, 0.015312
0.013873, 0.091820, 0.015312
0.016025, 0.089683, 0.018174
0.016025, 0.089683, 0.018174
0.016621, 0.090824, 0.018060
0.016621, 0.090824, 0.018060
0.015164, 0.089423, 0.019396
0.015071, 0.080922, 0.034755
0.017334, 0.081103, 0.029593
0.016809, 0.081187, 0.030968
0.016086, 0.082447, 0.037583
0.016086, 0.082447, 0.037583
0.016408, 0.083928, 0.036975
0.016408, 0.083928, 0.036975
0.017829, 0.084149, 0.040125
0.017829, 0.084149, 0.040125
0.015148, 0.080724, 0.039612
0.013561, 0.081987, 0.037336
0.016079, 0.082958, 0.035199
0.016079, 0.082958, 0.035199
0.016168, 0.083341, 0.033845
0.015448, 0.082054, 0.039819
0.013608, 0.083472, 0.033918
0.013608, 0.083472, 0.033918
0.014685, 0.083619, 0.034755
0.014593, 0.081195, 0.036666
0.014593, 0.081195, 0.036666
0.018312, 0.081737, 0.030845
0.015628, 0.085501, 0.024489
0.015628, 0.085501, 0.024489
0.013373, 0.089458, 0.012093
0.013373, 0.089458, 0.012093
0.010795, 0.089755, 0.025548
0.009298, 0.090154, 0.016240
0.009298, 0.090154, 0.016240
0.006889, 0.089863, 0.010435
0.006889, 0.089863, 0.010435
0.010523, 0.091837, 0.005108
0.011539, 0.091216, 0.012368
0.011539, 0.091216, 0.012368
0.010757, 0.090929, 0.023231
0.009341, 0.089779, 0.026095
0.009341, 0.089779, 0.026095
0.008150, 0.091109, 0.022699
0.008150, 0.091109, 0.022699
0.008408, 0.092647, 0.022336
0.008591, 0.092624, 0.023657
0.008591, 0.092624, 0.023657
0.009389, 0.090727, 0.025620
0.009389, 0.090727, 0.025620
0.004551, 0.089446, 0.016570
0.010169, 0.085291, 0.045109
0.010169, 0.085291, 0.045109
0.009688, 0.089992, 0.027684
0.009688, 0.089992, 0.027684
0.010703, 0.088707, 0.022495
0.009948, 0.089125, 0.019920
0.009948, 0.089125, 0.019920
0.010239, 0.092016, 0.009929
0.009290, 0.091548, 0.015082
0.009290, 0.091548, 0.015082
0.006918, 0.092609, 0.003857
0.006576, 0.093070, 0.008736
0.006576, 0.093070, 0.008736
0.006315, 0.092051, 0.005755
0.006315, 0.092051, 0.005755
0.005859, 0.094365, 0.011015
0.004764, 0.093753, 0.011571
0.004764, 0.093753, 0.011571
0.005882, 0.093672, 0.011173
0.005882, 0.093672, 0.011173
0.005962, 0.093566, 0.012187
0.005962, 0.093566, 0.012187
0.004769, 0.094190, 0.011483
0.004966, 0.094295, 0.013841
0.004966, 0.094295, 0.013841
0.005414, 0.093763, 0.022794
0.006815, 0.090310, 0.031032
0.006815, 0.090310, 0.031032
0.005313, 0.089317, 0.041035
0.005313, 0.089317, 0.041035
0.004771, 0.093810, 0.032391
0.004647, 0.093420, 0.032349
0.004647, 0.093420, 0.032349
0.003913, 0.092679, 0.031267
0.003915, 0.092544, 0.032636
0.003915, 0.092544, 0.032636
0.003900, 0.093452, 0.032775
0.003900, 0.093452, 0.032775
0.002280, 0.091629, 0.036321
0.006970, 0.083429, 0.051438
0.006970, 0.083429, 0.051438
0.004637, 0.091206, 0.022438
0.004637, 0.091206, 0.022438
0.005185, 0.093267, 0.016731
0.005144, 0.092864, 0.014816
0.005144, 0.092864, 0.014816
0.005632, 0.092480, 0.020087
0.005487, 0.091413, 0.023216
0.005487, 0.091413, 0.023216
0.005603, 0.091308, 0.022499
0.005603, 0.091308, 0.022499
0.004728, 0.090209, 0.038450
0.002525, 0.089464, 0.042413
0.002525, 0.089464, 0.042413
0.000562, 0.091114, 0.040854
0.000562, 0.091114, 0.040854
-0.001377, 0.091855, 0.040703
-0.000761, 0.092077, 0.040001
-0.000761, 0.092077, 0.040001
-0.000293, 0.091780, 0.041041
0.000323, 0.091497, 0.042192
0.000323, 0.091497, 0.042192
0.000062, 0.091287, 0.041987
0.000062, 0.091287, 0.041987
0.000001, 0.090662, 0.043550
-0.000685, 0.091390, 0.042463
-0.000685, 0.091390, 0.042463
-0.000463, 0.091344, 0.041363
-0.000463, 0.091344, 0.041363
-0.001331, 0.091920, 0.042201
-0.000920, 0.091761, 0.042303
-0.000920, 0.091761, 0.042303
-0.002487, 0.091784, 0.042076
-0.002487, 0.091784, 0.042076
-0.003352, 0.088353, 0.040827
0.001952, 0.090173, 0.043013
0.001952, 0.090173, 0.043013
0.002496, 0.089297, 0.044216
0.004560, 0.090710, 0.039315
0.004560, 0.090710, 0.039315
0.007032, 0.090728, 0.039667
0.007032, 0.090728, 0.039667
0.006707, 0.091057, 0.042070
0.006707, 0.091057, 0.042070
0.001123, 0.089812, 0.042644
0.001816, 0.090405, 0.042346
0.001816, 0.090405, 0.042346
0.002263, 0.090876, 0.041288
0.002263, 0.090876, 0.041288
0.002305, 0.090274, 0.044108
0.002305, 0.090274, 0.044108
0.006881, 0.084392, 0.051632
0.006452, 0.086636, 0.052200
0.006452, 0.086636, 0.052200
0.007681, 0.088178, 0.049147
0.006509, 0.090431, 0.044195
0.000744, 0.091811, 0.036692
0.001985, 0.093845, 0.032335
0.001985, 0.093845, 0.032335
0.002173, 0.093230, 0.032965
0.002173, 0.093230, 0.032965
0.003993, 0.092098, 0.035839
0.003581, 0.092977, 0.034047
0.003581, 0.092977, 0.034047
-0.004175, 0.093531, 0.031126
-0.005764, 0.094188, 0.028897
-0.005764, 0.094188, 0.028897
-0.007225, 0.092745, 0.034342
-0.007999, 0.092125, 0.032532
-0.007430, 0.092496, 0.032993
-0.007430, 0.092496, 0.032993
-0.007635, 0.092531, 0.034074
-0.007211, 0.092154, 0.032749
-0.007211, 0.092154, 0.032749
-0.008277, 0.090397, 0.040101
-0.009949, 0.088938, 0.051006
-0.005589, 0.087960, 0.045908
-0.001658, 0.088165, 0.041316
0.000106, 0.089528, 0.036927
0.000106, 0.089528, 0.036927
-0.000300, 0.090615, 0.037777
-0.000300, 0.090615, 0.037777
-0.000368, 0.084226, 0.047416
-0.000368, 0.084226, 0.047416
0.005504, 0.088413, 0.038348
0.008066, 0.091389, 0.003264
0.007501, 0.090189, 0.006589
0.007501, 0.090189, 0.006589
0.005087, 0.091307, 0.012337
0.008161, 0.091482, 0.028706
0.012830, 0.092801, 0.034419
0.012830, 0.092801, 0.034419
